n	mic1_L1	mic1_L2	mic2_L1	mic2_L2
0	0.000030	-0.000008	0.000010	0.000016
1	-0.000069	0.000011	-0.000004	-0.000015
2	-0.000006	-0.000015	0.000018	0.000020
3	0.000020	0.000017	-0.000022	-0.000017
4	0.000066	-0.000020	0.000004	0.000023
5	-0.000047	0.000022	-0.000010	-0.000019
6	-0.000029	-0.000026	0.000024	0.000027
7	-0.000017	0.000026	-0.000016	-0.000020
8	0.000083	-0.000030	0.000002	0.000028
9	-0.000008	0.000030	-0.000018	-0.000023
10	-0.000024	-0.000034	0.000024	0.000029
11	-0.000057	0.000033	-0.000007	-0.000023
12	0.000068	-0.000036	0.000005	0.000028
13	0.000026	0.000034	-0.000024	-0.000023
14	0.000006	-0.000037	0.000017	0.000028
15	-0.000082	0.000035	-0.000001	-0.000021
16	0.000029	-0.000037	0.000011	0.000027
17	0.000035	0.000036	-0.000024	-0.000019
18	0.000047	-0.000036	0.000006	0.000024
19	-0.000076	0.000035	0.000001	-0.000016
20	-0.000016	-0.000035	0.000018	0.000020
21	0.000015	0.000034	-0.000017	-0.000013
22	0.000079	-0.000034	-0.000003	0.000016
23	-0.000040	0.000032	-0.000003	-0.000011
24	-0.000041	-0.000032	0.000021	0.000011
25	-0.000026	0.000031	-0.000005	-0.000008
26	0.000082	-0.000030	-0.000007	0.000006
27	0.000007	0.000029	-0.000011	-0.000004
28	-0.000034	-0.000029	0.000017	0.000003
29	-0.000068	0.000028	0.000006	-0.000001
30	0.000052	-0.000028	-0.000002	-0.000001
31	0.000042	0.000028	-0.000017	0.000001
32	0.000001	-0.000027	0.000008	-0.000005
33	-0.000086	0.000029	0.000011	0.000003
34	0.000000	-0.000028	0.000008	-0.000010
35	0.000045	0.000030	-0.000018	0.000004
36	0.000046	-0.000030	-0.000002	-0.000012
37	-0.000069	0.000032	0.000008	0.000004
38	-0.000044	-0.000032	0.000019	-0.000013
39	0.000017	0.000035	-0.000012	0.000006
40	0.000076	-0.000034	-0.000008	-0.000014
41	-0.000020	0.000038	-0.000003	0.000008
42	-0.000062	-0.000038	0.000023	-0.000014
43	-0.000030	0.000042	-0.000001	0.000007
44	0.000071	-0.000042	-0.000007	-0.000013
45	0.000033	0.000046	-0.000015	0.000007
46	-0.000044	-0.000046	0.000020	-0.000014
47	-0.000069	0.000050	0.000008	0.000006
48	0.000030	-0.000050	0.000002	-0.000013
49	0.000067	0.000054	-0.000023	0.000005
50	-0.000001	-0.000053	0.000008	-0.000010
51	-0.000077	0.000057	0.000011	0.000005
52	-0.000027	-0.000055	0.000014	-0.000008
53	0.000064	0.000058	-0.000021	0.000005
54	0.000048	-0.000056	-0.000004	-0.000006
55	-0.000044	0.000059	0.000005	0.000003
56	-0.000072	-0.000057	0.000023	-0.000004
57	0.000028	0.000058	-0.000012	0.000000
58	0.000072	-0.000057	-0.000011	-0.000002
59	0.000013	0.000056	-0.000007	-0.000000
60	-0.000083	-0.000055	0.000023	-0.000001
61	-0.000025	0.000053	0.000002	0.000001
62	0.000056	-0.000052	-0.000010	0.000001
63	0.000070	0.000050	-0.000019	0.000001
64	-0.000053	-0.000048	0.000015	0.000003
65	-0.000061	0.000046	0.000012	0.000003
66	0.000006	-0.000044	0.000000	0.000002
67	0.000096	0.000041	-0.000025	0.000005
68	0.000003	-0.000039	0.000001	0.000001
69	-0.000061	0.000036	0.000013	0.000007
70	-0.000052	-0.000035	0.000013	-0.000001
71	0.000082	0.000031	-0.000020	0.000009
72	0.000056	-0.000031	-0.000012	-0.000003
73	-0.000019	0.000027	0.000005	0.000014
74	-0.000090	-0.000027	0.000022	-0.000006
75	0.000030	0.000024	-0.000007	0.000019
76	0.000074	-0.000024	-0.000017	-0.000009
77	0.000042	0.000021	-0.000009	0.000023
78	-0.000090	-0.000021	0.000022	-0.000013
79	-0.000030	0.000019	0.000008	0.000026
80	0.000047	-0.000020	-0.000012	-0.000019
81	0.000092	0.000017	-0.000021	0.000028
82	-0.000047	-0.000019	0.000011	-0.000023
83	-0.000068	0.000017	0.000017	0.000031
84	-0.000012	-0.000019	0.000002	-0.000027
85	0.000106	0.000017	-0.000024	0.000033
86	0.000015	-0.000019	-0.000004	-0.000030
87	-0.000059	0.000018	0.000016	0.000035
88	-0.000074	-0.000019	0.000018	-0.000032
89	0.000074	0.000019	-0.000017	0.000035
90	0.000065	-0.000020	-0.000016	-0.000034
91	-0.000011	0.000020	0.000004	0.000034
92	-0.000109	-0.000022	0.000026	-0.000037
93	0.000008	0.000022	-0.000001	0.000033
94	0.000072	-0.000023	-0.000018	-0.000039
95	0.000053	0.000024	-0.000012	0.000032
96	-0.000093	-0.000024	0.000023	-0.000037
97	-0.000056	0.000026	0.000015	0.000031
98	0.000034	-0.000024	-0.000008	-0.000035
99	0.000100	0.000027	-0.000023	0.000030
100	-0.000038	-0.000025	0.000010	-0.000036
101	-0.000083	0.000029	0.000024	0.000029
102	-0.000034	-0.000026	0.000008	-0.000037
103	0.000104	0.000029	-0.000022	0.000027
104	0.000031	-0.000026	-0.000008	-0.000036
105	-0.000060	0.000029	0.000019	0.000024
106	-0.000097	-0.000026	0.000023	-0.000036
107	0.000059	0.000029	-0.000010	0.000026
108	0.000070	-0.000025	-0.000020	-0.000036
109	0.000002	0.000028	0.000005	0.000025
110	-0.000124	-0.000023	0.000027	-0.000035
111	-0.000012	0.000027	0.000008	0.000024
112	0.000065	-0.000022	-0.000022	-0.000034
113	0.000074	0.000025	-0.000012	0.000024
114	-0.000096	-0.000020	0.000018	-0.000035
115	-0.000068	0.000021	0.000024	0.000024
116	0.000010	-0.000017	-0.000011	-0.000034
117	0.000118	0.000018	-0.000022	0.000023
118	-0.000028	-0.000014	0.000000	-0.000031
119	-0.000081	0.000014	0.000029	0.000022
120	-0.000061	-0.000010	0.000006	-0.000028
121	0.000112	0.000011	-0.000020	0.000025
122	0.000042	-0.000006	-0.000020	-0.000025
123	-0.000040	0.000006	0.000021	0.000025
124	-0.000121	-0.000003	0.000020	-0.000017
125	0.000055	0.000002	-0.000005	0.000022
126	0.000080	0.000001	-0.000030	-0.000016
127	0.000034	-0.000003	0.000002	0.000022
128	-0.000127	0.000005	0.000023	-0.000012
129	-0.000017	-0.000007	0.000014	0.000019
130	0.000063	0.000008	-0.000027	-0.000006
131	0.000111	-0.000011	-0.000017	0.000017
132	-0.000080	0.000011	0.000012	-0.000000
133	-0.000069	-0.000014	0.000028	0.000016
134	0.000001	0.000015	-0.000009	0.000002
135	0.000142	-0.000018	-0.000027	0.000013
136	0.000001	0.000018	-0.000007	0.000006
137	-0.000068	-0.000022	0.000027	0.000008
138	-0.000078	0.000020	0.000012	0.000008
139	0.000116	-0.000025	-0.000023	0.000002
140	0.000067	0.000022	-0.000024	0.000009
141	-0.000019	-0.000028	0.000012	0.000002
142	-0.000128	0.000026	0.000027	0.000011
143	0.000042	-0.000030	-0.000007	-0.000002
144	0.000091	0.000027	-0.000029	0.000014
145	0.000064	-0.000031	-0.000010	-0.000005
146	-0.000123	0.000029	0.000028	0.000016
147	-0.000036	-0.000032	0.000013	-0.000004
148	0.000056	0.000030	-0.000018	0.000013
149	0.000128	-0.000033	-0.000029	-0.000008
150	-0.000061	0.000031	0.000015	0.000016
151	-0.000082	-0.000033	0.000025	-0.000012
152	-0.000023	0.000031	0.000003	0.000015
153	0.000147	-0.000032	-0.000035	-0.000012
154	0.000019	0.000031	-0.000006	0.000017
155	-0.000070	-0.000031	0.000023	-0.000013
156	-0.000104	0.000031	0.000025	0.000015
157	0.000096	-0.000029	-0.000023	-0.000013
158	0.000079	0.000030	-0.000022	0.000017
159	-0.000002	-0.000026	0.000007	-0.000019
160	-0.000148	0.000027	0.000036	0.000013
161	0.000018	-0.000024	0.000000	-0.000019
162	0.000085	0.000026	-0.000025	0.000010
163	0.000083	-0.000022	-0.000014	-0.000024
164	-0.000124	0.000023	0.000032	0.000008
165	-0.000064	-0.000018	0.000024	-0.000025
166	0.000026	0.000020	-0.000012	0.000008
167	0.000142	-0.000014	-0.000028	-0.000025
168	-0.000058	0.000017	0.000011	0.000007
169	-0.000095	-0.000010	0.000034	-0.000023
170	-0.000064	0.000014	0.000008	0.000007
171	0.000135	-0.000006	-0.000028	-0.000027
172	0.000027	0.000010	-0.000013	0.000008
173	-0.000067	-0.000003	0.000028	-0.000026
174	-0.000145	0.000006	0.000028	0.000003
175	0.000077	0.000001	-0.000012	-0.000021
176	0.000078	0.000003	-0.000029	0.000007
177	0.000017	0.000004	0.000007	-0.000024
178	-0.000161	-0.000001	0.000036	0.000014
179	-0.000016	0.000008	0.000012	-0.000018
180	0.000075	-0.000004	-0.000027	0.000012
181	0.000106	0.000010	-0.000016	-0.000011
182	-0.000120	-0.000007	0.000025	0.000013
183	-0.000083	0.000012	0.000031	-0.000013
184	0.000007	-0.000009	-0.000011	0.000019
185	0.000152	0.000013	-0.000031	-0.000014
186	-0.000022	-0.000012	0.000002	0.000019
187	-0.000100	0.000014	0.000035	-0.000007
188	-0.000082	-0.000012	0.000013	0.000015
189	0.000135	0.000013	-0.000028	-0.000007
190	0.000062	-0.000012	-0.000022	0.000022
191	-0.000043	0.000012	0.000022	-0.000007
192	-0.000143	-0.000011	0.000031	0.000027
193	0.000057	0.000010	-0.000009	-0.000008
194	0.000114	-0.000010	-0.000035	0.000023
195	0.000052	0.000007	-0.000003	-0.000003
196	-0.000146	-0.000008	0.000032	0.000019
197	-0.000031	0.000002	0.000016	-0.000009
198	0.000079	-0.000005	-0.000031	0.000028
199	0.000135	-0.000001	-0.000026	-0.000010
200	-0.000077	-0.000001	0.000015	0.000031
201	-0.000097	-0.000006	0.000033	-0.000003
202	0.000001	0.000003	-0.000011	0.000027
203	0.000166	-0.000011	-0.000036	-0.000002
204	0.000015	0.000008	-0.000013	0.000037
205	-0.000087	-0.000015	0.000034	-0.000006
206	-0.000095	0.000013	0.000014	0.000039
207	0.000124	-0.000020	-0.000026	-0.000007
208	0.000109	0.000016	-0.000033	0.000037
209	-0.000017	-0.000024	0.000015	-0.000006
210	-0.000139	0.000022	0.000032	0.000037
211	0.000042	-0.000029	-0.000003	-0.000010
212	0.000123	0.000026	-0.000039	0.000044
213	0.000087	-0.000031	-0.000011	-0.000012
214	-0.000120	0.000031	0.000033	0.000046
215	-0.000065	-0.000035	0.000021	-0.000010
216	0.000083	0.000039	-0.000022	0.000043
217	0.000156	-0.000040	-0.000036	-0.000023
218	-0.000046	0.000039	0.000016	0.000045
219	-0.000104	-0.000040	0.000033	-0.000032
220	-0.000026	0.000042	0.000007	0.000041
221	0.000159	-0.000043	-0.000041	-0.000032
222	0.000064	0.000047	-0.000007	0.000031
223	-0.000090	-0.000046	0.000026	-0.000045
224	-0.000109	0.000051	0.000037	0.000042
225	0.000098	-0.000047	-0.000027	-0.000057
226	0.000120	0.000053	-0.000023	0.000046
227	0.000006	-0.000049	0.000002	-0.000051
228	-0.000153	0.000057	0.000051	0.000032
229	-0.000018	-0.000051	-0.000002	-0.000053
230	0.000124	0.000060	-0.000021	0.000046
231	0.000088	-0.000054	-0.000026	-0.000084
232	-0.000121	0.000060	0.000044	0.000046
233	-0.000101	-0.000054	0.000023	-0.000073
234	0.000028	0.000062	-0.000004	0.000042
235	0.000155	-0.000054	-0.000043	-0.000076
236	-0.000030	0.000064	0.000019	0.000025
237	-0.000141	-0.000054	0.000034	-0.000075
238	-0.000066	0.000064	0.000025	0.000156
239	0.000135	-0.000053	-0.000039	-0.000065
240	0.000060	0.000062	-0.000009	-0.000061
241	-0.000069	-0.000052	0.000026	0.000036
242	-0.000166	0.000062	0.000046	0.000061
243	0.000055	-0.000051	-0.000015	0.001187
244	0.000118	0.000060	-0.000027	-0.001616
245	0.000005	-0.000049	-0.000000	-0.001889
246	-0.000179	0.000056	0.000050	0.003109
247	-0.000067	-0.000045	0.000016	-0.005704
248	0.000068	0.000053	-0.000026	0.007267
249	0.000213	-0.000044	-0.000025	-0.004204
250	-0.000109	0.000052	0.000030	0.009230
251	-0.000235	-0.000042	0.000040	-0.029106
252	0.000107	0.000045	-0.000005	-0.048189
253	0.000149	-0.000035	-0.000039	0.149065
254	0.001100	0.000036	0.000003	0.025744
255	-0.001941	-0.000029	0.000038	-0.107110
256	-0.000849	0.000014	0.000028	-0.055181
257	0.002243	-0.000003	-0.000053	-0.030999
258	-0.004908	0.000033	0.000003	0.035906
259	0.007091	-0.000064	0.000041	0.068980
260	-0.006174	0.000030	-0.000017	0.067867
261	0.011034	-0.000021	-0.000003	0.029320
262	-0.031545	0.000025	-0.000028	0.045056
263	-0.028083	-0.000013	-0.000011	0.016761
264	0.125350	0.000016	0.000043	0.030192
265	-0.008747	-0.000021	0.000044	0.000955
266	-0.069823	0.000002	-0.000045	0.007570
267	-0.034636	-0.000015	-0.000040	-0.016592
268	-0.019290	-0.000004	0.000009	-0.003773
269	0.028096	-0.000008	0.000030	-0.019383
270	0.054735	-0.000008	-0.000005	-0.002675
271	0.058134	-0.000006	-0.000050	-0.014964
272	0.037190	-0.000002	-0.000014	-0.003994
273	0.042493	0.000020	0.000024	-0.007460
274	0.013695	-0.000023	0.000033	-0.003185
275	0.024641	0.000002	-0.000043	-0.008654
276	-0.001696	0.000002	-0.000030	-0.002726
277	0.004890	0.000122	-0.000007	-0.007642
278	-0.017808	-0.000003	0.000062	-0.001316
279	-0.002631	-0.000398	0.000002	-0.003647
280	-0.021805	0.000091	-0.000039	-0.002025
281	-0.006716	-0.000242	-0.000047	-0.007472
282	-0.018893	-0.000068	0.000064	-0.003945
283	-0.000095	0.000400	0.000135	-0.003513
284	-0.010134	0.000101	-0.000024	-0.008058
285	0.000225	-0.001050	-0.000492	-0.006908
286	-0.012961	-0.008745	0.000171	-0.004354
287	0.000145	0.008474	-0.000250	-0.005996
288	-0.009919	0.019726	0.000067	-0.005573
289	0.001371	-0.005301	0.000278	-0.005935
290	-0.006539	-0.015566	0.000174	-0.004669
291	-0.001649	-0.009746	-0.001560	-0.004113
292	-0.009557	0.005129	-0.009016	-0.005968
293	-0.001655	0.009952	0.010479	-0.006012
294	-0.007397	0.012603	0.020295	-0.005966
295	-0.001360	0.012174	-0.007921	-0.007964
296	-0.006784	0.010255	-0.018018	-0.006436
297	-0.004075	0.007506	-0.008520	-0.005913
298	-0.004851	0.003498	0.007432	-0.006073
299	-0.002510	0.001422	0.012199	-0.004023
300	-0.005813	-0.000052	0.014070	-0.004611
301	-0.003124	-0.000611	0.011399	-0.005291
302	-0.005725	-0.002250	0.009333	-0.004264
303	-0.002978	-0.001405	0.007040	-0.003181
304	-0.006090	-0.002280	0.004169	-0.003132
305	-0.006495	-0.000721	0.001964	-0.002991
306	-0.006470	-0.001915	0.000702	-0.004584
307	-0.005176	-0.002347	-0.000212	-0.003806
308	-0.006606	-0.001527	-0.001721	-0.002097
309	-0.004310	0.000213	-0.001120	-0.002260
310	-0.005044	-0.002606	-0.002091	-0.003229
311	-0.003831	-0.002477	-0.001168	-0.003180
312	-0.002985	-0.002440	-0.001922	-0.003148
313	-0.003568	-0.001498	-0.003397	-0.002122
314	-0.002593	-0.002119	-0.002258	-0.001792
315	-0.002607	-0.002163	-0.001067	-0.002191
316	-0.003303	-0.002114	-0.002118	-0.001527
317	-0.002350	-0.000616	-0.001819	-0.001396
318	-0.002184	-0.000177	-0.002704	-0.003406
319	-0.002698	-0.000843	-0.001330	-0.002610
320	-0.001510	-0.002402	-0.001091	-0.002556
321	-0.002227	-0.001124	-0.001512	-0.001840
322	-0.001856	-0.000797	-0.001650	-0.001392
323	-0.001822	-0.000985	-0.000371	-0.001529
324	-0.002168	-0.002104	-0.001690	-0.003108
325	-0.001331	-0.002831	-0.001320	-0.003423
326	-0.001173	-0.002512	-0.001447	-0.003222
327	-0.002105	-0.002159	-0.001028	-0.001909
328	-0.001451	-0.001773	-0.002377	-0.001335
329	-0.002268	-0.001738	-0.002595	-0.001930
330	-0.002719	-0.001496	-0.002589	-0.003024
331	-0.001612	-0.000746	-0.002506	-0.002813
332	-0.002202	-0.001147	-0.002241	-0.001421
333	-0.002089	-0.001434	-0.000900	-0.001930
334	-0.001600	-0.001274	-0.001134	-0.000439
335	-0.002537	-0.000471	-0.002300	0.000632
336	-0.002253	-0.001777	-0.003087	-0.001296
337	-0.001500	-0.001838	-0.002118	-0.002138
338	-0.001893	-0.001881	-0.002253	-0.002649
339	-0.001537	-0.002343	-0.002894	0.000101
340	-0.001519	-0.002019	-0.003066	0.000970
341	-0.000753	-0.001571	-0.002269	0.000890
342	-0.001000	-0.001638	-0.001385	-0.000175
343	-0.001972	-0.001267	-0.000949	-0.001237
344	-0.002053	-0.001182	-0.001611	0.000510
345	-0.001461	-0.001365	-0.001706	0.000666
346	-0.001179	-0.001364	-0.001522	0.000484
347	0.001145	-0.000891	-0.001417	-0.001170
348	0.000535	-0.001136	-0.001515	-0.003321
349	-0.000720	-0.001023	-0.001166	-0.001265
