f	misurata	stimata
0.00	-9.368368	3.015706
86.13	-2.838954	-4.769242
172.27	3.155917	3.880757
258.40	2.793410	3.752191
344.53	3.562802	4.244433
430.66	4.597945	5.021689
516.80	2.615892	3.268578
602.93	4.715458	5.708456
689.06	3.567266	3.935026
775.20	3.271710	4.233552
861.33	4.747333	5.650380
947.46	3.635270	4.172245
1033.59	4.495109	5.450316
1119.73	3.021625	4.125853
1205.86	3.581982	4.091802
1291.99	3.658276	4.375872
1378.12	2.540021	3.392709
1464.26	4.377662	5.029207
1550.39	3.981469	5.098193
1636.52	5.157346	5.718977
1722.66	4.772201	6.076808
1808.79	4.674115	5.671688
1894.92	5.473671	6.266340
1981.05	4.286735	5.224807
2067.19	5.345646	6.421892
2153.32	4.778381	5.440570
2239.45	4.528462	5.166724
2325.59	4.787470	6.588535
2411.72	3.953939	6.277807
2497.85	4.900084	5.705489
2583.98	4.215122	5.767454
2670.12	5.121097	5.883914
2756.25	5.074182	7.406523
2842.38	4.412808	4.330767
2928.52	5.578914	6.246429
3014.65	4.982383	5.662131
3100.78	5.670604	6.617384
3186.91	5.661732	4.310644
3273.05	5.526387	6.070878
3359.18	5.983030	6.832280
3445.31	5.245320	5.015969
3531.45	5.617701	4.980651
3617.58	5.091529	4.859824
3703.71	4.888922	4.776095
3789.84	4.742499	4.871246
3875.98	4.303868	4.498235
3962.11	4.668376	5.092582
4048.24	3.907112	4.263004
4134.38	4.490945	5.096350
4220.51	4.061791	4.751028
4306.64	3.997245	4.745199
4392.77	4.392648	4.933979
4478.91	4.026806	4.843960
4565.04	4.375239	4.987208
4651.17	3.937205	4.397682
4737.30	4.714687	5.279653
4823.44	4.035671	4.607842
4909.57	3.978369	4.678301
4995.70	4.574317	5.247403
5081.84	3.615655	4.072754
5167.97	4.301000	5.174848
5254.10	3.800157	4.557519
5340.23	4.051983	4.802431
5426.37	3.920832	4.498090
5512.50	3.916056	4.459038
5598.63	4.520342	5.217763
5684.77	3.786291	4.687391
5770.90	4.715622	5.433900
5857.03	4.572841	5.214877
5943.16	4.681379	5.349177
6029.30	4.878153	5.444956
6115.43	4.672994	5.373758
6201.56	5.022911	5.804689
6287.70	4.754870	5.334295
6373.83	5.487537	6.165585
6459.96	5.361711	6.092265
6546.09	5.224923	5.781628
6632.23	5.473916	6.113746
6718.36	5.284388	6.062076
6804.49	5.327379	5.770511
6890.62	5.010534	5.724820
6976.76	5.468479	6.070255
7062.89	5.623596	6.278875
7149.02	5.557264	6.306845
7235.16	5.974138	6.662083
7321.29	5.817813	6.604496
7407.42	5.585140	6.297552
7493.55	5.657084	6.287683
7579.69	5.397146	6.184938
7665.82	5.383453	5.947012
7751.95	5.292633	5.957104
7838.09	5.226093	5.867985
7924.22	5.192293	5.933115
8010.35	4.599028	5.103817
8096.48	4.889729	5.628949
8182.62	4.274897	5.004012
8268.75	4.225436	4.836887
8354.88	4.409085	5.121581
8441.02	3.863425	4.488077
8527.15	4.378432	5.046555
8613.28	3.858455	4.543487
8699.41	4.641684	5.251299
8785.55	4.495538	5.121921
8871.68	4.564218	5.109470
8957.81	5.123727	5.776791
9043.95	4.827407	5.676303
9130.08	5.225155	5.745736
9216.21	4.446491	5.160096
9302.34	5.124364	5.936455
9388.48	4.549810	5.342545
9474.61	3.809100	4.358645
9560.74	4.374345	5.098419
9646.88	3.254424	3.789644
9733.01	3.644622	4.346042
9819.14	2.876202	3.562873
9905.27	3.246384	4.166419
9991.41	2.831881	3.744903
10077.54	2.315956	3.128435
10163.67	3.042453	3.718618
10249.80	2.201832	2.866994
10335.94	2.936435	3.691754
10422.07	2.440415	3.058170
10508.20	2.855830	3.480355
10594.34	2.927473	3.492839
10680.47	2.906062	3.660067
10766.60	3.227180	3.852342
10852.73	3.108904	3.794973
10938.87	3.817345	4.484454
11025.00	3.447899	4.127982
11111.13	3.868467	4.617444
11197.27	3.823793	4.448070
11283.40	3.857498	4.715950
11369.53	4.072937	4.867169
11455.66	3.762474	4.578134
11541.80	4.095716	4.885040
11627.93	3.952799	4.723362
11714.06	3.692017	4.466393
11800.20	3.674878	4.393568
11886.33	3.794793	4.628497
11972.46	3.395192	4.147336
12058.59	3.550433	4.266037
12144.73	3.553766	4.347212
12230.86	3.606047	4.408102
12316.99	3.684388	4.508403
12403.12	3.604814	4.233146
12489.26	3.935926	4.594902
12575.39	3.576948	4.101104
12661.52	3.943897	4.872038
12747.66	3.592276	4.461565
12833.79	3.724556	4.652914
12919.92	3.788998	4.636692
13006.05	3.423863	4.429372
13092.19	3.750602	4.644127
13178.32	3.393460	4.001184
13264.45	3.869689	4.940723
13350.59	3.365324	4.100614
13436.72	3.803732	4.540583
13522.85	3.906672	4.639632
13608.98	3.550614	4.518379
13695.12	4.068216	4.913748
13781.25	3.647690	4.284456
13867.38	4.112185	5.058635
13953.52	3.702521	4.488063
14039.65	3.914561	4.672324
14125.78	3.890537	4.816905
14211.91	3.675823	4.499397
14298.05	4.093871	4.909483
14384.18	3.653639	4.467715
14470.31	4.236510	5.024768
14556.45	4.058623	4.935491
14642.58	4.094450	4.508029
14728.71	4.031212	3.440708
14814.84	4.126068	4.459320
14900.98	4.308714	3.963386
14987.11	3.846972	3.973267
15073.24	4.307934	4.981732
15159.38	4.070326	3.813088
15245.51	4.136377	4.482038
15331.64	4.076160	4.294600
15417.77	4.140040	4.542751
15503.91	4.207290	4.896699
15590.04	3.964394	5.008267
15676.17	4.270877	5.105691
15762.30	4.029686	4.713516
15848.44	4.278963	5.390382
15934.57	4.121161	5.304777
16020.70	3.441216	5.128301
16106.84	2.859871	3.925277
16192.97	2.999704	4.376361
16279.10	3.010975	4.230099
16365.23	2.679205	3.731684
16451.37	3.007770	4.577322
16537.50	2.595853	4.375623
16623.63	2.761135	4.997067
16709.77	2.494362	3.284059
16795.90	2.467081	3.630567
16882.03	2.501885	3.259065
16968.16	2.166270	3.333168
17054.30	2.322606	3.571361
17140.43	2.002086	4.268025
17226.56	2.291316	3.519843
17312.70	1.790345	3.842798
17398.83	1.988355	4.576688
17484.96	2.004421	2.957107
17571.09	1.490821	2.453349
17657.23	1.632178	2.044260
17743.36	1.294353	3.065222
17829.49	1.296421	4.575376
17915.62	0.587302	2.924952
18001.76	0.811079	4.301567
18087.89	0.542757	1.229665
18174.02	-0.129204	0.754801
18260.16	0.134514	2.112948
18346.29	-0.337746	1.382777
18432.42	-0.675473	-1.789692
18518.55	-0.985922	0.505800
18604.69	-0.840014	0.436000
18690.82	-1.432928	-4.347278
18776.95	-1.347888	-4.269946
18863.09	-0.924286	-3.341420
18949.22	-1.215571	-4.510696
19035.35	-1.049842	-3.097182
19121.48	-0.663679	-8.219636
19207.62	-0.598994	-16.883776
19293.75	-0.737516	-12.289043
19379.88	-0.267206	-13.955779
19466.02	-0.140452	-15.167415
19552.15	-0.162752	-18.211289
19638.28	-0.090758	-19.900969
19724.41	0.080819	-17.727700
19810.55	-0.092831	-21.510350
19896.68	-0.169836	-18.441697
19982.81	0.051828	-22.178963
20068.95	-0.085487	-22.571939
20155.08	-0.014099	-24.470410
