f	mic1_L1_mis	mic1_L1_stima	mic1_L2_mis	mic1_L2_stima	mic2_L1_mis	mic2_L1_stima	mic2_L2_mis	mic2_L2_stima
0.00	-4.678673	-37.302135	2.337670	3.004704	0.826136	8.298011	-3.994756	-17.856914
126.00	0.140929	0.858074	5.931249	7.384457	5.226243	5.234627	0.340819	1.203203
252.00	3.935141	4.077387	9.609555	7.660065	9.332258	8.376980	3.794268	4.255121
378.00	5.413515	5.634145	11.554818	12.061363	11.617085	10.407783	4.940729	4.432298
504.00	5.477410	6.011279	12.192987	13.532741	12.666796	14.771866	4.745446	5.256515
630.00	4.967164	4.567364	11.769135	12.713938	12.782355	14.513940	4.201574	4.042869
756.00	4.738777	4.870544	10.468371	12.117379	12.031602	13.551201	4.061598	4.235992
882.00	4.955078	5.646072	8.631866	11.113292	10.494759	11.742243	4.056388	4.643640
1008.00	4.976569	5.010955	7.592273	11.645264	8.486405	10.626582	3.782462	4.272518
1134.00	4.461111	5.370693	8.244629	10.296121	7.088853	9.227910	3.196784	3.617470
1260.00	3.879935	3.823833	9.391286	10.512017	7.547502	8.839560	2.661394	3.047710
1386.00	4.105879	5.022744	9.991453	11.878011	8.926491	10.082125	2.712439	3.062967
1512.00	4.999894	5.454060	9.827440	10.559873	9.997825	8.987958	3.446728	3.927468
1638.00	5.715128	6.570022	9.041953	7.969664	10.436934	10.640120	4.223084	4.869997
1764.00	5.920108	6.027709	8.072289	7.964030	10.277517	7.774656	4.447750	4.783362
1890.00	5.784923	7.097331	7.657838	7.716949	9.685745	12.904159	4.179553	5.060288
2016.00	5.623673	6.811908	8.055971	8.243482	8.931925	11.288455	4.052803	4.738433
2142.00	5.554990	6.484952	8.673879	9.938367	8.359853	11.874839	4.405848	4.826362
2268.00	5.455566	5.416895	8.939508	7.131006	8.165752	8.482858	4.687999	4.924987
2394.00	5.260153	4.828886	8.638436	10.798541	8.213002	13.109009	4.496913	4.959687
2520.00	5.118337	5.035159	7.785939	9.048682	8.219451	8.904585	4.203349	4.623306
2646.00	5.188058	5.780443	6.604836	6.406519	8.004554	8.768648	4.372813	4.701389
2772.00	5.384438	4.339381	5.608156	8.713806	7.556805	5.202582	4.742183	5.470300
2898.00	5.525115	2.552498	5.385827	9.079589	7.021134	4.994921	4.823279	5.060066
3024.00	5.571002	4.006081	5.925102	6.316865	6.605236	5.552949	4.778652	4.134402
3150.00	5.645252	3.383431	6.750876	7.935949	6.477056	3.911271	4.982275	4.226941
3276.00	5.753949	4.290599	7.556447	7.816214	6.567464	1.849161	5.179404	4.870033
3402.00	5.727939	5.110000	8.270078	8.055357	6.693898	6.050470	4.942958	4.393843
3528.00	5.432359	4.471971	8.866749	8.383249	6.759212	4.916010	4.499281	4.012888
3654.00	4.981601	4.201561	9.273134	9.129443	6.838992	5.968463	4.466056	3.949440
3780.00	4.706117	4.190186	9.390572	8.804560	7.115671	6.196707	4.678281	4.274371
3906.00	4.750579	4.641405	9.139183	8.775037	7.661221	7.293633	4.562544	4.459987
4032.00	4.865057	4.802000	8.577355	8.694999	8.311933	7.988939	4.391144	4.593935
4158.00	4.823110	4.827586	7.949672	8.859101	8.797124	9.481060	4.769000	4.839311
4284.00	4.722346	4.960706	7.677994	8.876641	8.907432	8.869719	5.275061	5.304661
4410.00	4.768346	5.140267	7.955876	7.977568	8.552272	7.754531	5.250212	5.485626
4536.00	4.883754	4.992049	8.469865	9.576027	7.803115	8.330732	4.938012	5.185309
4662.00	4.803586	5.169109	8.798348	9.422682	7.021400	6.894841	5.026244	5.242421
4788.00	4.498423	4.836926	8.761256	9.163782	6.876638	6.904807	5.306536	5.456412
4914.00	4.279867	4.565358	8.453652	9.489581	7.616967	8.637641	5.153165	5.549974
5040.00	4.372470	4.628070	8.188856	8.994797	8.671896	9.069410	4.748069	4.934036
5166.00	4.535022	4.579514	8.270834	8.544323	9.461953	9.053260	4.754984	5.065864
5292.00	4.499595	4.598759	8.645908	9.597081	9.761098	9.597421	5.035414	5.099938
5418.00	4.417001	4.647595	8.989649	9.374659	9.575399	9.433425	5.094349	5.440446
5544.00	4.614669	4.571359	9.073085	10.107687	9.073615	10.165978	5.126503	5.265634
5670.00	4.962015	5.281666	8.915168	9.860672	8.574213	9.289123	5.447778	5.520505
5796.00	5.071773	5.582665	8.756555	8.739134	8.436249	8.732954	5.746747	6.104780
5922.00	4.911762	5.326362	8.861917	9.297055	8.713324	9.464994	5.764407	6.079818
6048.00	4.910487	5.191231	9.224525	9.873094	9.126041	9.992136	5.784252	6.102204
6174.00	5.320989	5.593271	9.576272	10.444180	9.402440	10.304808	6.068732	6.269197
6300.00	5.764832	6.234726	9.674857	9.355190	9.468766	9.938675	6.453531	6.698352
6426.00	5.883413	6.134831	9.448362	10.112059	9.419535	9.533892	6.775405	7.111010
6552.00	5.816133	6.119499	9.001005	8.753786	9.410245	9.601785	6.976831	7.280870
6678.00	5.944690	6.213361	8.565132	9.408058	9.514157	9.489507	6.980057	7.138719
6804.00	6.268396	6.422327	8.363838	9.748119	9.655173	10.071686	6.985162	7.183686
6930.00	6.429336	6.738284	8.440330	8.754755	9.694190	9.960582	7.378178	7.607374
7056.00	6.295345	6.688170	8.682172	9.500490	9.560868	9.759930	7.857233	7.993785
7182.00	6.095793	6.366881	8.972346	9.850718	9.328523	10.075678	7.749696	7.960896
7308.00	6.029112	6.252895	9.242539	9.743455	9.194503	9.311683	7.127812	7.373599
7434.00	5.940982	6.193128	9.425298	9.805356	9.345514	9.263006	7.040940	7.433516
7560.00	5.663177	5.965752	9.436919	10.104754	9.764946	9.519897	7.695101	7.859818
7686.00	5.386816	5.897471	9.226660	8.892693	10.247784	11.038726	7.965036	8.084258
7812.00	5.382759	5.747233	8.847275	9.557065	10.593132	10.626112	7.572309	7.905548
7938.00	5.478079	5.868486	8.485407	8.972018	10.704555	11.085759	7.361447	7.536895
8064.00	5.360326	5.757589	8.370205	8.515934	10.581592	10.307504	7.694834	7.882493
8190.00	5.141118	5.624868	8.548831	10.135414	10.281512	10.187266	7.737366	7.927968
8316.00	5.201687	5.463349	8.844728	9.566578	9.904206	10.957444	7.257335	7.504729
8442.00	5.489265	5.743025	9.071209	9.845868	9.565499	10.350510	7.064237	7.352300
8568.00	5.593323	5.996614	9.179648	9.935585	9.371086	10.247183	7.396421	7.527637
8694.00	5.429354	5.628305	9.228403	9.681156	9.365747	9.323104	7.441669	7.695863
8820.00	5.325038	5.541465	9.261709	10.253070	9.492534	9.446098	7.051312	7.293525
8946.00	5.434262	5.825527	9.214645	9.442739	9.614029	9.010273	6.856400	7.057550
9072.00	5.428472	5.840143	8.955079	9.165541	9.578968	9.462088	6.880168	7.013522
9198.00	5.045439	5.310472	8.388346	9.340117	9.296223	9.209644	6.518743	6.844192
9324.00	4.488281	4.826769	7.578735	8.849272	8.789671	8.851544	5.942710	6.164721
9450.00	4.153754	4.413349	6.824699	7.639459	8.260934	8.375940	5.909778	6.086058
9576.00	3.975822	4.265725	6.556783	6.437063	8.052144	8.013154	6.101550	6.367222
9702.00	3.029954	4.070006	6.911721	7.116693	7.731695	9.096109	5.727656	6.006136
9828.00	3.341152	3.736377	7.586235	7.359162	9.049511	9.644313	4.992084	5.170741
9954.00	3.269782	3.652484	8.268524	8.521578	9.509228	10.116692	4.753371	5.050386
10080.00	3.536134	3.646296	8.825678	9.858399	9.643576	10.607747	4.937020	5.338054
10206.00	3.653328	3.827304	9.204961	10.427295	9.363740	9.723234	4.940137	5.121980
