n	misurata	stimata
0	0.000021	-0.004161
1	-0.000058	0.004742
2	-0.000065	-0.002174
3	-0.000075	0.001575
4	0.000013	0.005401
5	-0.000204	-0.002731
6	0.000090	0.005255
7	-0.000190	0.001553
8	0.000001	0.000415
9	-0.000091	0.005697
10	-0.000031	0.000843
11	-0.000191	0.004813
12	0.000083	0.000630
13	-0.000366	0.003665
14	0.000068	-0.000815
15	-0.000378	0.000543
16	0.000018	-0.000752
17	0.000532	-0.003142
18	-0.000076	0.001339
19	-0.000975	-0.002305
20	0.001009	0.003626
21	-0.000170	-0.001644
22	0.008973	0.004041
23	-0.018090	0.001378
24	0.000749	0.001459
25	0.011334	0.008615
26	-0.036773	-0.003417
27	0.060429	0.003350
28	-0.058510	0.001799
29	0.105009	-0.006539
30	-0.315273	0.005627
31	-0.098264	-0.007062
32	1.000000	-0.003764
33	-0.264403	-0.002681
34	-0.488125	-0.005608
35	-0.235107	-0.002071
36	-0.078268	-0.000404
37	0.221532	0.003808
38	0.452390	0.004745
39	0.405280	0.006891
40	0.288061	0.008285
41	0.276763	0.005102
42	0.068079	0.004766
43	0.154713	0.006090
44	-0.063840	-0.001858
45	0.003230	0.000546
46	-0.173362	-0.007786
47	-0.028746	-0.001664
48	-0.203337	-0.004328
49	-0.050260	-0.005147
50	-0.139906	-0.002327
51	0.013585	-0.002129
52	-0.075402	0.004031
53	-0.007648	0.000578
54	-0.098789	0.007298
55	0.028563	0.003365
56	-0.064197	0.003058
57	0.016949	0.008222
58	-0.099272	-0.001147
59	-0.010278	0.003942
60	-0.073469	-0.003612
61	0.002784	-0.000416
62	-0.078616	0.001908
63	-0.010259	-0.009290
64	-0.072046	0.005781
65	-0.002407	-0.008167
66	-0.041029	0.004200
67	0.006389	0.002248
68	-0.047387	0.002815
69	-0.013394	0.009927
70	-0.055521	0.000558
71	-0.013740	0.014152
72	-0.061681	-0.001731
73	-0.032131	0.007547
74	-0.051631	0.001417
75	-0.023774	-0.005919
76	-0.046640	0.004559
77	-0.015758	-0.008388
78	-0.039726	0.002486
79	-0.014398	-0.005546
80	-0.022518	-0.001290
81	-0.011058	0.003023
82	-0.021654	-0.002112
83	-0.012745	0.006048
84	-0.022839	-0.002109
85	-0.005273	0.008155
86	-0.014910	-0.003840
87	-0.008088	0.005023
88	-0.013571	0.005521
89	-0.012458	-0.004632
90	-0.013444	0.010134
91	-0.006844	-0.003569
92	-0.010376	0.004783
93	-0.002518	0.002128
94	-0.011271	0.005498
95	-0.010969	0.004261
96	-0.013815	0.003572
97	-0.012457	0.012643
98	-0.014596	-0.004635
99	-0.004913	0.010860
100	-0.013102	0.001807
101	-0.010478	-0.000706
102	-0.014254	0.010749
103	-0.013074	-0.009687
104	-0.008232	0.003383
105	-0.004160	-0.006416
106	-0.008695	0.000190
107	-0.003971	-0.002487
108	-0.009299	0.001239
109	-0.008100	0.003971
110	-0.007249	-0.004517
111	-0.005149	0.007426
112	-0.005093	-0.000221
113	-0.001695	0.002553
114	-0.006658	0.003309
115	-0.001205	0.001710
116	-0.001928	0.004235
117	0.000170	-0.001783
118	0.001580	0.008717
119	0.001387	-0.006182
120	0.001864	0.009080
121	0.006088	0.000676
122	0.002746	-0.001255
123	0.004972	0.008622
124	0.005193	-0.006424
125	0.002387	0.012628
126	0.004940	-0.003767
127	0.004676	0.003392
128	0.002483	0.004478
129	0.004131	-0.003212
130	0.002007	0.010350
131	0.000617	-0.004039
132	0.003467	0.009719
133	0.000611	0.001264
134	0.002557	0.001739
135	0.004360	0.011459
136	0.003765	-0.004376
137	0.004001	0.008051
138	0.004890	-0.000778
139	0.003049	0.000487
140	0.006526	0.002757
141	0.005305	-0.002527
142	0.005570	0.003588
143	0.007056	-0.000314
144	0.005743	0.003724
145	0.004638	0.003385
146	0.004311	0.004328
147	0.002716	0.010974
148	0.005058	0.002426
149	0.006463	0.011853
150	0.004664	0.003324
151	0.006623	0.004407
152	0.004412	0.006550
153	0.004626	-0.007116
154	0.005998	0.004501
155	0.004395	-0.005507
156	0.004948	-0.006858
157	0.006718	0.000724
158	0.003898	-0.007062
159	0.005334	0.003753
160	0.005232	0.002814
161	0.003828	0.000684
162	0.005458	0.008472
163	0.005313	0.002516
164	0.002504	0.009543
165	0.006780	0.001022
166	0.005423	0.010559
167	0.000733	-0.001629
168	0.005989	0.008304
169	0.009396	0.004782
170	0.009174	-0.003896
171	0.006734	0.010614
172	0.006586	-0.005926
173	0.008431	0.004005
174	0.010248	0.006669
175	0.007817	-0.004416
176	0.008971	0.011043
177	0.007489	-0.001696
178	0.009099	0.006157
179	0.011372	0.003107
180	0.007001	-0.002739
181	0.009131	0.006254
182	0.007802	-0.008006
183	0.009785	0.007205
184	0.014522	-0.000694
185	0.004539	0.004306
186	0.006300	0.005977
187	0.003989	0.002761
188	0.010764	0.009151
189	0.014154	0.003033
190	0.008552	0.006787
191	0.006424	0.008597
192	0.002640	-0.003834
193	0.005026	0.007880
194	-0.003796	-0.004787
195	0.004029	-0.003905
196	0.004315	0.001163
197	0.003654	-0.008292
198	0.008410	-0.000059
199	0.005849	0.000879
200	0.001855	-0.001122
201	0.006004	0.005276
202	0.004698	0.003122
203	0.006309	0.009002
204	0.002304	0.000169
205	0.003504	0.014202
206	0.007014	-0.002528
207	0.009186	0.004389
208	0.005664	0.011606
209	0.005559	-0.009816
210	0.003445	0.012613
211	0.004187	-0.001051
212	0.003286	-0.003769
213	0.002588	0.010537
214	0.003569	-0.006370
215	0.004450	0.007142
216	0.002548	0.001225
217	0.006201	0.002026
218	0.006096	0.003124
219	0.006101	0.002917
220	0.004896	0.002479
221	0.005698	0.003731
222	0.007324	0.004416
223	0.006585	0.001317
224	0.002658	0.006566
225	0.005793	0.006358
226	0.007163	0.006472
227	0.006615	0.007250
228	0.005525	0.000625
229	0.004878	0.009472
230	0.004500	-0.000585
231	0.005684	0.004331
232	0.005797	0.002506
233	0.007257	-0.002755
234	0.009306	0.004716
235	0.008536	-0.004540
236	0.007679	0.001317
237	0.008168	0.001585
238	0.006680	0.002363
239	0.007398	0.010039
240	0.006360	0.001215
241	0.005229	0.010669
242	0.002613	0.004966
243	-0.000016	0.004159
244	0.017165	0.011256
245	0.023639	-0.003606
246	0.006928	0.005931
247	0.001090	-0.000418
248	0.007267	-0.003472
249	0.021145	0.002942
250	0.023064	-0.007251
251	0.027564	0.004294
252	0.021899	-0.001968
253	0.019034	0.001862
254	0.030560	0.005291
255	0.014735	-0.004790
256	-0.013833	0.017082
257	-0.026696	-0.004641
258	-0.010548	0.004643
259	0.003914	0.006607
260	0.004114	-0.004441
261	-0.000635	0.011151
262	-0.000016	-0.000286
263	0.001002	0.008333
264	-0.005834	-0.001565
265	-0.009134	0.010764
266	-0.009471	0.002087
267	-0.009895	-0.009352
268	-0.012109	0.016131
269	-0.008504	-0.010803
270	-0.005350	0.003153
271	-0.000743	0.008798
272	-0.001454	-0.006711
273	-0.000124	-0.001943
274	-0.001546	0.013699
275	-0.000661	-0.010094
276	-0.002514	0.006706
277	-0.004210	0.030395
278	-0.004992	-0.048614
279	-0.004912	0.040310
280	-0.005901	-0.014368
281	-0.003295	-0.023474
282	-0.003265	0.056329
283	-0.003844	-0.055043
284	-0.003814	0.120309
285	-0.002994	-0.363044
286	-0.002981	-0.036736
287	-0.002406	1.000000
288	-0.001372	-0.170776
289	-0.000116	-0.664677
290	-0.001604	-0.106646
291	-0.001231	-0.194271
292	-0.000650	0.315959
293	-0.000217	0.457478
294	-0.000701	0.422165
295	0.000210	0.367095
296	-0.000480	0.207990
297	0.000217	0.195650
298	-0.000416	0.060690
299	-0.001719	0.048848
300	-0.000800	-0.071557
301	-0.000517	-0.105524
302	-0.002637	-0.086711
303	-0.001097	-0.169180
304	-0.000687	-0.114679
305	0.000378	-0.110029
306	-0.001239	-0.055612
307	-0.001461	-0.034712
308	-0.001852	-0.085119
309	-0.006435	-0.048415
310	-0.005997	-0.028268
311	-0.001861	-0.004652
312	-0.003686	-0.016949
313	-0.004507	-0.046229
314	-0.003747	-0.035904
315	-0.001838	-0.015088
316	-0.000613	-0.036763
317	-0.002355	-0.029698
318	-0.003701	-0.054120
319	-0.002035	-0.047340
320	-0.003021	-0.041628
321	-0.006411	-0.024738
322	-0.003814	-0.022987
323	0.001202	-0.039917
324	0.002289	-0.031105
325	-0.001574	-0.038565
326	-0.003452	-0.032697
327	-0.000749	-0.030900
328	0.002558	-0.053788
329	0.001204	-0.021750
330	-0.000447	-0.040260
331	-0.000107	-0.029771
332	0.001675	-0.028312
333	0.000723	-0.037348
334	0.000933	-0.018506
335	0.003039	-0.021713
336	0.004094	-0.010950
337	0.002718	-0.019990
338	0.001490	-0.017420
339	0.004702	-0.008800
340	0.005620	-0.015959
341	0.003770	0.002403
342	0.001642	-0.014881
343	0.000560	-0.004753
344	0.002685	-0.009898
345	0.004447	-0.010799
346	-0.000454	0.002225
347	-0.003330	-0.013298
348	0.000452	-0.001189
349	0.001479	-0.000985
350	0.001574	-0.027811
351	0.001935	0.000732
352	0.001506	-0.023323
353	0.002000	-0.013349
354	0.001881	0.001098
355	0.002330	-0.020035
356	0.002521	-0.004922
357	0.001738	-0.012890
358	0.004105	-0.017022
359	0.002361	0.000716
360	-0.000986	-0.012619
361	-0.001370	-0.000782
362	0.000498	-0.011363
363	0.001258	-0.001655
364	-0.001935	-0.012433
365	0.001506	-0.010250
366	0.002152	0.001548
367	-0.000503	-0.014569
368	-0.003572	0.006812
369	-0.001578	-0.008160
