n	misurata	stimata
0	0.000089	-0.004161
1	-0.000126	0.004742
2	0.000105	-0.002174
3	-0.000137	0.001575
4	0.000122	0.005401
5	-0.000141	-0.002731
6	0.000136	0.005255
7	-0.000145	0.001553
8	0.000142	0.000415
9	-0.000153	0.005697
10	0.000150	0.000843
11	-0.000161	0.004813
12	0.000157	0.000630
13	-0.000167	0.003665
14	0.000171	-0.000815
15	-0.000171	0.000543
16	0.000182	-0.000752
17	-0.000172	-0.003142
18	0.000197	0.001339
19	-0.000188	-0.002305
20	0.000212	0.003626
21	-0.000196	-0.001644
22	0.000222	0.004041
23	-0.000201	0.001378
24	0.000225	0.001459
25	-0.000216	0.008615
26	0.000231	-0.003417
27	-0.000226	0.003350
28	0.000241	0.001799
29	-0.000229	-0.006539
30	0.000242	0.005627
31	-0.000222	-0.007062
32	0.000248	-0.003764
33	-0.000219	-0.002681
34	0.000247	-0.005608
35	-0.000217	-0.002071
36	0.000240	-0.000404
37	-0.000207	0.003808
38	0.000230	0.004745
39	-0.000202	0.006891
40	0.000218	0.008285
41	-0.000201	0.005102
42	0.000208	0.004766
43	-0.000200	0.006090
44	0.000192	-0.001858
45	-0.000194	0.000546
46	0.000182	-0.007786
47	-0.000184	-0.001664
48	0.000180	-0.004328
49	-0.000184	-0.005147
50	0.000171	-0.002327
51	-0.000188	-0.002129
52	0.000154	0.004031
53	-0.000185	0.000578
54	0.000149	0.007298
55	-0.000180	0.003365
56	0.000140	0.003058
57	-0.000186	0.008222
58	0.000129	-0.001147
59	-0.000182	0.003942
60	0.000120	-0.003612
61	-0.000166	-0.000416
62	0.000120	0.001908
63	-0.000152	-0.009290
64	0.000120	0.005781
65	-0.000140	-0.008167
66	0.000107	0.004200
67	-0.000123	0.002248
68	0.000094	0.002815
69	-0.000109	0.009927
70	0.000086	0.000558
71	-0.000103	0.014152
72	0.000077	-0.001731
73	-0.000091	0.007547
74	0.000060	0.001417
75	-0.000079	-0.005919
76	0.000055	0.004559
77	-0.000067	-0.008388
78	0.000059	0.002486
79	-0.000056	-0.005546
80	0.000062	-0.001290
81	-0.000049	0.003023
82	0.000059	-0.002112
83	-0.000047	0.006048
84	0.000060	-0.002109
85	-0.000044	0.008155
86	0.000072	-0.003840
87	-0.000047	0.005023
88	0.000079	0.005521
89	-0.000047	-0.004632
90	0.000087	0.010134
91	-0.000048	-0.003569
92	0.000102	0.004783
93	-0.000049	0.002128
94	0.000120	0.005498
95	-0.000045	0.004261
96	0.000135	0.003572
97	-0.000046	0.012643
98	0.000128	-0.004635
99	-0.000063	0.010860
100	0.000132	0.001807
101	-0.000074	-0.000706
102	0.000131	0.010749
103	-0.000077	-0.009687
104	0.000122	0.003383
105	-0.000078	-0.006416
106	0.000115	0.000190
107	-0.000088	-0.002487
108	0.000113	0.001239
109	-0.000090	0.003971
110	0.000113	-0.004517
111	-0.000082	0.007426
112	0.000108	-0.000221
113	-0.000087	0.002553
114	0.000092	0.003309
115	-0.000101	0.001710
116	0.000083	0.004235
117	-0.000108	-0.001783
118	0.000080	0.008717
119	-0.000102	-0.006182
120	0.000073	0.009080
121	-0.000105	0.000676
122	0.000076	-0.001255
123	-0.000112	0.008622
124	0.000075	-0.006424
125	-0.000107	0.012628
126	0.000072	-0.003767
127	-0.000095	0.003392
128	0.000066	0.004478
129	-0.000098	-0.003212
130	0.000056	0.010350
131	-0.000112	-0.004039
132	0.000040	0.009719
133	-0.000107	0.001264
134	0.000024	0.001739
135	-0.000088	0.011459
136	0.000021	-0.004376
137	-0.000083	0.008051
138	0.000018	-0.000778
139	-0.000070	0.000487
140	0.000009	0.002757
141	-0.000047	-0.002527
142	0.000007	0.003588
143	-0.000022	-0.000314
144	0.000017	0.003724
145	-0.000018	0.003385
146	0.000012	0.004328
147	-0.000016	0.010974
148	0.000004	0.002426
149	0.000008	0.011853
150	0.000009	0.003324
151	0.000024	0.004407
152	0.000031	0.006550
153	0.000034	-0.007116
154	0.000041	0.004501
155	0.000043	-0.005507
156	0.000034	-0.006858
157	0.000061	0.000724
158	0.000039	-0.007062
159	0.000065	0.003753
160	0.000055	0.002814
161	0.000053	0.000684
162	0.000043	0.008472
163	0.000048	0.002516
164	0.000017	0.009543
165	0.000050	0.001022
166	0.000025	0.010559
167	0.000049	-0.001629
168	0.000042	0.008304
169	0.000042	0.004782
170	0.000041	-0.003896
171	0.000049	0.010614
172	0.000024	-0.005926
173	0.000047	0.004005
174	0.000035	0.006669
175	0.000029	-0.004416
176	0.000047	0.011043
177	0.000020	-0.001696
178	0.000023	0.006157
179	0.000015	0.003107
180	0.000001	-0.002739
181	-0.000001	0.006254
182	0.000013	-0.008006
183	-0.000017	0.007205
184	0.000029	-0.000694
185	-0.000012	0.004306
186	0.000002	0.005977
187	-0.000010	0.002761
188	-0.000016	0.009151
189	-0.000043	0.003033
190	-0.000006	0.006787
191	-0.000069	0.008597
192	-0.000018	-0.003834
193	-0.000057	0.007880
194	-0.000055	-0.004787
195	-0.000070	-0.003905
196	-0.000055	0.001163
197	-0.000098	-0.008292
198	-0.000024	-0.000059
199	-0.000094	0.000879
200	-0.000022	-0.001122
201	-0.000049	0.005276
202	-0.000024	0.003122
203	-0.000048	0.009002
204	0.000005	0.000169
205	-0.000077	0.014202
206	0.000031	-0.002528
207	-0.000054	0.004389
208	0.000021	0.011606
209	-0.000017	-0.009816
210	0.000015	0.012613
211	-0.000038	-0.001051
212	0.000053	-0.003769
213	-0.000054	0.010537
214	0.000070	-0.006370
215	0.000006	0.007142
216	0.000064	0.001225
217	0.000038	0.002026
218	0.000086	0.003124
219	0.000004	0.002917
220	0.000110	0.002479
221	-0.000013	0.003731
222	0.000090	0.004416
223	0.000043	0.001317
224	0.000066	0.006566
225	0.000049	0.006358
226	0.000093	0.006472
227	-0.000004	0.007250
228	0.000121	0.000625
229	0.000029	0.009472
230	0.000094	-0.000585
231	0.000105	0.004331
232	0.000102	0.002506
233	0.000095	-0.002755
234	0.000164	0.004716
235	0.000045	-0.004540
236	0.000151	0.001317
237	0.000085	0.001585
238	0.000079	0.002363
239	0.000126	0.010039
240	0.000091	0.001215
241	0.000052	0.010669
242	0.000125	0.004966
243	0.000015	0.004159
244	0.000074	0.011256
245	0.000097	-0.003606
246	0.000008	0.005931
247	0.000090	-0.000418
248	0.000056	-0.003472
249	0.000015	0.002942
250	0.000076	-0.007251
251	0.000013	0.004294
252	-0.000039	-0.001968
253	0.000065	0.001862
254	-0.000109	0.005291
255	0.000005	-0.004790
256	-0.000041	0.017082
257	-0.000081	-0.004641
258	-0.000060	0.004643
259	-0.000003	0.006607
260	-0.000189	-0.004441
261	0.000075	0.011151
262	-0.000176	-0.000286
263	-0.000013	0.008333
264	-0.000078	-0.001565
265	-0.000044	0.010764
266	-0.000179	0.002087
267	0.000071	-0.009352
268	-0.000355	0.016131
269	0.000057	-0.010803
270	-0.000368	0.003153
271	0.000008	0.008798
272	0.000540	-0.006711
273	-0.000084	-0.001943
274	-0.000968	0.013699
275	0.001002	-0.010094
276	-0.000164	0.006706
277	0.008968	0.030395
278	-0.018085	-0.048614
279	0.000745	0.040310
280	0.011338	-0.014368
281	-0.036777	-0.023474
282	0.060432	0.056329
283	-0.058513	-0.055043
284	0.105011	0.120309
285	-0.315275	-0.363044
286	-0.098263	-0.036736
287	1.000000	1.000000
288	-0.264402	-0.170776
289	-0.488127	-0.664677
290	-0.235106	-0.106646
291	-0.078269	-0.194271
292	0.221532	0.315959
293	0.452390	0.457478
294	0.405281	0.422165
295	0.288060	0.367095
296	0.276763	0.207990
297	0.068078	0.195650
298	0.154714	0.060690
299	-0.063841	0.048848
300	0.003231	-0.071557
301	-0.173364	-0.105524
302	-0.028745	-0.086711
303	-0.203339	-0.169180
304	-0.050258	-0.114679
305	-0.139908	-0.110029
306	0.013587	-0.055612
307	-0.075404	-0.034712
308	-0.007645	-0.085119
309	-0.098792	-0.048415
310	0.028566	-0.028268
311	-0.064200	-0.004652
312	0.016952	-0.016949
313	-0.099275	-0.046229
314	-0.010274	-0.035904
315	-0.073473	-0.015088
316	0.002787	-0.036763
317	-0.078620	-0.029698
318	-0.010255	-0.054120
319	-0.072050	-0.047340
320	-0.002403	-0.041628
321	-0.041033	-0.024738
322	0.006393	-0.022987
323	-0.047391	-0.039917
324	-0.013390	-0.031105
325	-0.055526	-0.038565
326	-0.013735	-0.032697
327	-0.061685	-0.030900
328	-0.032126	-0.053788
