n	mic1_L1_mis	mic1_L1_stima	mic1_L2_mis	mic1_L2_stima	mic2_L1_mis	mic2_L1_stima	mic2_L2_mis	mic2_L2_stima
0	0.000236	0.004248	-0.000404	-0.017823	0.000489	0.031538	0.000109	-0.001666
1	-0.000551	0.005514	0.000552	-0.007587	-0.000173	0.033400	-0.000103	0.003280
2	-0.000051	0.004503	-0.000741	-0.000870	0.000867	0.036759	0.000136	-0.002291
3	0.000161	0.003592	0.000843	0.000899	-0.001087	0.033764	-0.000116	0.002023
4	0.000526	0.002454	-0.001035	0.025498	0.000203	0.018844	0.000155	0.000529
5	-0.000375	0.000938	0.001105	0.014742	-0.000474	0.024976	-0.000128	0.002101
6	-0.000229	0.000761	-0.001313	0.002154	0.001165	0.024586	0.000181	0.003693
7	-0.000134	0.001989	0.001343	0.027589	-0.000776	0.021990	-0.000137	0.002999
8	0.000661	0.001578	-0.001529	0.006685	0.000100	0.022194	0.000187	0.003340
9	-0.000065	0.001342	0.001530	0.037759	-0.000873	0.014260	-0.000155	0.004037
10	-0.000192	-0.000126	-0.001700	0.014058	0.001160	0.022896	0.000197	0.007690
11	-0.000458	0.003370	0.001656	0.017021	-0.000349	0.011599	-0.000157	0.003672
12	0.000539	0.003597	-0.001819	0.003237	0.000249	0.018904	0.000191	0.003039
13	0.000207	0.007075	0.001739	0.003468	-0.001162	0.019206	-0.000151	0.000505
14	0.000050	0.005790	-0.001883	-0.002726	0.000823	0.019213	0.000185	0.000194
15	-0.000652	0.009053	0.001783	-0.004783	-0.000031	0.032486	-0.000144	-0.000768
16	0.000229	0.007871	-0.001889	-0.009129	0.000556	0.033127	0.000180	-0.005080
17	0.000282	0.009036	0.001806	-0.001579	-0.001165	0.034527	-0.000128	-0.000722
18	0.000377	0.007192	-0.001850	-0.005192	0.000295	0.045232	0.000162	-0.001468
19	-0.000605	0.007233	0.001773	0.013060	0.000044	0.033288	-0.000108	0.001513
20	-0.000131	0.000320	-0.001791	-0.007387	0.000888	0.031898	0.000135	0.000242
21	0.000119	0.000670	0.001709	0.008668	-0.000817	0.032487	-0.000088	-0.001548
22	0.000628	-0.003603	-0.001710	0.003801	-0.000167	0.025768	0.000105	0.006154
23	-0.000321	-0.002381	0.001630	0.030813	-0.000169	0.025418	-0.000077	0.000136
24	-0.000325	-0.006963	-0.001616	0.026004	0.001027	0.028132	0.000076	0.008188
25	-0.000210	-0.003857	0.001563	0.043351	-0.000234	0.015569	-0.000055	-0.000753
26	0.000653	-0.006009	-0.001529	0.012308	-0.000335	0.022787	0.000040	0.004144
27	0.000058	0.000662	0.001478	-0.002477	-0.000533	-0.008334	-0.000027	-0.000509
28	-0.000273	0.000795	-0.001446	-0.001482	0.000853	0.010538	0.000020	-0.001806
29	-0.000541	0.006838	0.001434	0.007810	0.000303	-0.009057	-0.000007	-0.000535
30	0.000414	0.007169	-0.001397	0.006362	-0.000105	0.017165	-0.000005	-0.006096
31	0.000332	0.008721	0.001425	-0.008472	-0.000859	0.009987	0.000006	-0.001429
32	0.000007	0.008668	-0.001384	-0.001369	0.000405	0.026802	-0.000037	-0.004293
33	-0.000686	0.006591	0.001455	0.006169	0.000534	0.028370	0.000020	-0.002385
34	0.000002	0.006326	-0.001426	-0.013087	0.000394	0.013691	-0.000065	-0.001903
35	0.000360	0.003257	0.001501	0.006011	-0.000881	0.029281	0.000024	-0.002667
36	0.000363	0.001359	-0.001499	-0.024007	-0.000083	0.014014	-0.000080	0.001736
37	-0.000547	-0.000882	0.001605	0.003184	0.000370	0.008794	0.000029	-0.005226
38	-0.000352	-0.002923	-0.001612	0.003102	0.000920	0.008207	-0.000089	0.004034
39	0.000134	-0.004137	0.001761	0.040666	-0.000573	0.010079	0.000042	0.001113
40	0.000609	-0.007170	-0.001741	0.040005	-0.000379	0.018452	-0.000093	0.001924
